letter,startPlacement,endPlacement,timing,direction,blueMotionType,blueRotationDirection,blueStartLocation,blueEndLocation,redMotionType,redRotationDirection,redStartLocation,redEndLocation
V,gamma5,gamma1,none,same,pro,cw,sw,n,anti,ccw,n,se
V,gamma5,gamma4,none,same,anti,cw,sw,se,pro,ccw,n,sw
V,gamma6,gamma2,none,same,anti,ccw,sw,n,pro,cw,se,sw
V,gamma6,gamma3,none,same,pro,ccw,sw,se,anti,cw,se,n
W,gamma1,gamma2,none,none,static,noRotation,n,n,pro,cw,se,sw
W,gamma1,gamma6,none,none,pro,ccw,n,sw,static,noRotation,se,se
W,gamma2,gamma1,none,none,static,noRotation,n,n,pro,ccw,sw,se
W,gamma2,gamma4,none,none,pro,cw,n,se,static,noRotation,sw,sw
W,gamma3,gamma4,none,none,static,noRotation,se,se,pro,ccw,n,sw
W,gamma3,gamma5,none,none,pro,cw,se,sw,static,noRotation,n,n
W,gamma4,gamma2,none,none,pro,ccw,se,n,static,noRotation,sw,sw
W,gamma4,gamma3,none,none,static,noRotation,se,se,pro,cw,sw,n
W,gamma5,gamma3,none,none,pro,ccw,sw,se,static,noRotation,n,n
W,gamma5,gamma6,none,none,static,noRotation,sw,sw,pro,cw,n,se
W,gamma6,gamma1,none,none,pro,cw,sw,n,static,noRotation,se,se
W,gamma6,gamma5,none,none,static,noRotation,sw,sw,pro,ccw,se,n
X,gamma1,gamma2,none,none,static,noRotation,n,n,anti,ccw,se,sw
X,gamma1,gamma6,none,none,anti,cw,n,sw,static,noRotation,se,se
X,gamma2,gamma1,none,none,static,noRotation,n,n,anti,cw,sw,se
X,gamma2,gamma4,none,none,anti,ccw,n,se,static,noRotation,sw,sw
X,gamma3,gamma4,none,none,static,noRotation,se,se,anti,cw,n,sw
X,gamma3,gamma5,none,none,anti,ccw,se,sw,static,noRotation,n,n
X,gamma4,gamma2,none,none,anti,cw,se,n,static,noRotation,sw,sw
X,gamma4,gamma3,none,none,static,noRotation,se,se,anti,ccw,sw,n
X,gamma5,gamma3,none,none,anti,cw,sw,se,static,noRotation,n,n
X,gamma5,gamma6,none,none,static,noRotation,sw,sw,anti,ccw,n,se
X,gamma6,gamma1,none,none,anti,ccw,sw,n,static,noRotation,se,se
X,gamma6,gamma5,none,none,static,noRotation,sw,sw,anti,cw,se,n
Y,gamma1,beta1,none,none,static,noRotation,n,n,pro,ccw,se,n
Y,gamma1,beta2,none,none,pro,cw,n,se,static,noRotation,se,se
Y,gamma2,beta1,none,none,static,noRotation,n,n,pro,cw,sw,n
Y,gamma2,beta3,none,none,pro,ccw,n,sw,static,noRotation,sw,sw
Y,gamma3,beta1,none,none,pro,ccw,se,n,static,noRotation,n,n
Y,gamma3,beta2,none,none,static,noRotation,se,se,pro,cw,n,se
Y,gamma4,beta2,none,none,static,noRotation,se,se,pro,ccw,sw,se
Y,gamma4,beta3,none,none,pro,cw,se,sw,static,noRotation,sw,sw
Y,gamma5,beta1,none,none,pro,cw,sw,n,static,noRotation,n,n
Y,gamma5,beta3,none,none,static,noRotation,sw,sw,pro,ccw,n,sw
Y,gamma6,beta2,none,none,pro,ccw,sw,se,static,noRotation,se,se
Y,gamma6,beta3,none,none,static,noRotation,sw,sw,pro,cw,se,sw
Z,gamma1,beta1,none,none,static,noRotation,n,n,anti,cw,se,n
Z,gamma1,beta2,none,none,anti,ccw,n,se,static,noRotation,se,se
Z,gamma2,beta1,none,none,static,noRotation,n,n,anti,ccw,sw,n
Z,gamma2,beta3,none,none,anti,cw,n,sw,static,noRotation,sw,sw
Z,gamma3,beta1,none,none,anti,cw,se,n,static,noRotation,n,n
Z,gamma3,beta2,none,none,static,noRotation,se,se,anti,ccw,n,se
Z,gamma4,beta2,none,none,static,noRotation,se,se,anti,cw,sw,se
Z,gamma4,beta3,none,none,anti,ccw,se,sw,static,noRotation,sw,sw
Z,gamma5,beta1,none,none,anti,ccw,sw,n,static,noRotation,n,n
Z,gamma5,beta3,none,none,static,noRotation,sw,sw,anti,cw,n,sw
Z,gamma6,beta2,none,none,anti,cw,sw,se,static,noRotation,se,se
Z,gamma6,beta3,none,none,static,noRotation,sw,sw,anti,ccw,se,sw
Θ,beta1,gamma1,none,none,static,noRotation,n,n,pro,cw,n,se
Θ,beta1,gamma2,none,none,static,noRotation,n,n,pro,ccw,n,sw
Θ,beta1,gamma3,none,none,pro,cw,n,se,static,noRotation,n,n
Θ,beta1,gamma5,none,none,pro,ccw,n,sw,static,noRotation,n,n
Θ,beta2,gamma1,none,none,pro,ccw,se,n,static,noRotation,se,se
Θ,beta2,gamma3,none,none,static,noRotation,se,se,pro,ccw,se,n
Θ,beta2,gamma4,none,none,static,noRotation,se,se,pro,cw,se,sw
Θ,beta2,gamma6,none,none,pro,cw,se,sw,static,noRotation,se,se
Θ,beta3,gamma2,none,none,pro,cw,sw,n,static,noRotation,sw,sw
Θ,beta3,gamma4,none,none,pro,ccw,sw,se,static,noRotation,sw,sw
Θ,beta3,gamma5,none,none,static,noRotation,sw,sw,pro,cw,sw,n
Θ,beta3,gamma6,none,none,static,noRotation,sw,sw,pro,ccw,sw,se
Ω,beta1,gamma1,none,none,static,noRotation,n,n,anti,ccw,n,se
Ω,beta1,gamma2,none,none,static,noRotation,n,n,anti,cw,n,sw
Ω,beta1,gamma3,none,none,anti,ccw,n,se,static,noRotation,n,n
Ω,beta1,gamma5,none,none,anti,cw,n,sw,static,noRotation,n,n
Ω,beta2,gamma1,none,none,anti,cw,se,n,static,noRotation,se,se
Ω,beta2,gamma3,none,none,static,noRotation,se,se,anti,cw,se,n
Ω,beta2,gamma4,none,none,static,noRotation,se,se,anti,ccw,se,sw
Ω,beta2,gamma6,none,none,anti,ccw,se,sw,static,noRotation,se,se
Ω,beta3,gamma2,none,none,anti,ccw,sw,n,static,noRotation,sw,sw
Ω,beta3,gamma4,none,none,anti,cw,sw,se,static,noRotation,sw,sw
Ω,beta3,gamma5,none,none,static,noRotation,sw,sw,anti,ccw,sw,n
Ω,beta3,gamma6,none,none,static,noRotation,sw,sw,anti,cw,sw,se
β,beta1,beta1,none,none,static,noRotation,n,n,static,noRotation,n,n
β,beta2,beta2,none,none,static,noRotation,se,se,static,noRotation,se,se
β,beta3,beta3,none,none,static,noRotation,sw,sw,static,noRotation,sw,sw
γ,gamma1,gamma1,none,none,static,noRotation,n,n,static,noRotation,se,se
γ,gamma2,gamma2,none,none,static,noRotation,n,n,static,noRotation,sw,sw
γ,gamma3,gamma3,none,none,static,noRotation,se,se,static,noRotation,n,n
γ,gamma4,gamma4,none,none,static,noRotation,se,se,static,noRotation,sw,sw
γ,gamma5,gamma5,none,none,static,noRotation,sw,sw,static,noRotation,n,n
γ,gamma6,gamma6,none,none,static,noRotation,sw,sw,static,noRotation,se,se
